id,device_name,port_x_position_um,port_y_position_um,number_of_channels,optimisation_channel,wavelength_start_nm,wavelength_stop_nm,steps
1,ring01,-5973,-3115,1,1,1550,1550,1
2,ring02,-5813,-3115,1,1,1550,1550,1
3,ring03,-5654,-3115,1,1,1550,1550,1
4,ring04,-5493,-3115,1,1,1550,1550,1
5,ring05,-5333,-3115,1,1,1550,1550,1
6,ring06,-5174,-3115,1,1,1550,1550,1
7,ring07,-5014,-3115,1,1,1550,1550,1
8,ring08,-4854,-3115,1,1,1550,1550,1
9,ring09,-4693,-3115,1,1,1550,1550,1
10,ring10,-4533,-3115,1,1,1550,1550,1
11,ring11,-4374,-3115,1,1,1550,1550,1
12,ring12,-4214,-3115,1,1,1550,1550,1
13,ring13,-4054,-3115,1,1,1550,1550,1
14,ring14,-3893,-3115,1,1,1550,1550,1
15,ring15,-3734,-3115,1,1,1550,1550,1
16,ring16,-3575,-3115,1,1,1550,1550,1
17,ring17,-3400,-3115,1,1,1550,1550,1
18,ring18,-3220,-3115,1,1,1550,1550,1
19,ring19,-3040,-3115,1,1,1550,1550,1
20,ring20,-2859,-3115,1,1,1550,1550,1
21,ring21,-2663,-3115,1,1,1550,1550,1
22,ring22,-2443,-3115,1,1,1550,1550,1
23,ring23,-2223,-3115,1,1,1550,1550,1
24,ring24,-2003,-3115,1,1,1550,1550,1
